행정구역,2011년_계_총인구수,2011년_계_연령구간인구수,2012년_계_총인구수,2012년_계_연령구간인구수,2013년_계_총인구수,2013년_계_연령구간인구수,2014년_계_총인구수,2014년_계_연령구간인구수,2015년_계_총인구수,2015년_계_연령구간인구수,2016년_계_총인구수,2016년_계_연령구간인구수,2017년_계_총인구수,2017년_계_연령구간인구수,2018년_계_총인구수,2018년_계_연령구간인구수,2019년_계_총인구수,2019년_계_연령구간인구수,2020년_계_총인구수,2020년_계_연령구간인구수
서울특별시,10249679,1044750,10195318,1105583,10143645,1161708,10103233,1216529,10022181,1262436,9930616,1295899,9857426,1359901,9765623,1410297,9729107,1478664,9699232,1544944
서울특별시 종로구,168382,22800,165207,23730,160070,23853,156993,24376,154986,24752,152737,24950,154770,26030,153065,26572,151290,27318,149952,28193
서울특별시 중구,133193,17928,133360,18690,130465,19152,128065,19740,125733,20081,125249,20388,125709,21148,125725,21750,126171,22974,125800,23937
서울특별시 용산구,246501,31623,243232,32786,239740,33775,235951,34571,233342,35352,230241,35547,229161,36488,228999,37212,228670,38346,229786,39524
서울특별시 성동구,300711,32659,299604,34056,299337,35296,296086,36564,297003,38025,299259,39140,304808,41152,308221,42629,300889,43796,295591,45199
서울특별시 광진구,371936,33418,371313,35539,368927,37413,363354,38808,360369,40205,357215,41292,357703,43790,355559,45432,351350,47681,348064,49793
서울특별시 동대문구,365486,44229,363258,46625,364273,48911,363687,50756,360153,52331,355069,53301,350647,55547,348052,56991,346194,59170,344416,61215
서울특별시 중랑구,423706,43676,419295,46402,416798,48937,418836,51919,413909,54021,411005,55842,408226,59189,403209,61748,397015,65065,395997,68547
서울특별시 성북구,485171,55083,481857,58000,476589,60353,466706,61929,459275,63132,450355,63878,444055,66121,435868,67646,442650,70699,439719,73202
서울특별시 강북구,345054,43453,343157,46147,338707,48465,335025,50755,330873,52503,327195,53964,324479,56437,319164,58103,313954,60474,309996,62839
서울특별시 도봉구,365573,39781,362270,42230,358582,44434,353709,46438,351242,48553,348220,50466,344166,53445,339413,55926,333362,58664,327248,61340
서울특별시 노원구,603930,58584,597189,61150,590479,63731,582552,66411,574583,68843,567581,70819,554403,74178,543752,77032,532905,80854,525486,84541
서울특별시 은평구,493634,56485,501480,60649,503660,64188,498644,66864,497920,69610,491476,71304,486794,74400,483197,77263,480032,80567,481546,84172
서울특별시 서대문구,314852,39740,315113,41756,314110,43529,310376,44982,312141,46417,314194,47303,312800,48898,310313,50045,309397,51645,313212,53416
서울특별시 마포구,389493,42396,384644,44027,381856,45508,385439,47096,387643,48348,379892,48060,374915,49356,375077,50544,374035,52104,373508,53709
서울특별시 양천구,500210,41004,495911,43392,492528,45896,486221,48068,484532,50282,477739,51957,471154,55136,464185,57941,458165,61147,456240,64673
서울특별시 강서구,569072,52152,567431,55641,569070,59330,585160,64117,589074,67792,595485,70889,601691,75845,596949,79445,591796,83839,583544,87790
서울특별시 구로구,427468,41450,427520,44579,424964,47367,425831,50615,422092,53146,417551,55159,410742,58213,404497,61105,406664,64932,405579,68289
서울특별시 금천구,243438,24761,243288,26476,241020,27948,238463,29243,236284,30745,235386,31976,235154,33842,233917,35354,232810,37196,232157,38821
서울특별시 영등포구,397443,43215,391408,45417,386471,47258,382352,49184,378504,50839,370613,51186,368550,53299,367778,54906,367678,56957,375630,59764
서울특별시 동작구,401408,44132,405491,47007,410815,49863,407470,52147,400641,53425,400997,55052,396217,57071,396203,59265,395963,61994,393554,64407
서울특별시 관악구,526397,52725,523029,56238,518028,59333,513186,62251,509663,64677,506851,66659,503297,69729,501957,71888,500094,74787,498574,77734
서울특별시 서초구,433564,38933,435044,41649,441763,44554,449678,47346,446764,49171,447192,50906,441102,53119,433951,54663,430826,57036,426009,59394
서울특별시 강남구,565710,47041,564197,50206,563599,53300,578114,57291,576495,60191,567115,61822,556164,64946,542364,66957,545169,70896,539235,73803
서울특별시 송파구,682209,55316,673115,58341,668415,61592,664738,64891,660302,68147,657831,70918,664496,76442,666635,81211,675961,87182,670331,91967
서울특별시 강동구,495138,42166,487905,44850,483379,47722,476597,50167,458658,51848,444168,53121,436223,56080,427573,58669,436067,63341,458058,68675
부산광역시,3550963,418043,3538484,442199,3527635,467416,3519401,492116,3513777,514630,3498529,536064,3470653,565527,3441453,589961,3413841,620123,3399749,649546
부산광역시 중구,48686,8213,48148,8570,47345,8850,46737,9154,45816,9470,45208,9700,44218,10082,42795,10380,41910,10744,41593,11179
부산광역시 서구,123718,20280,120828,21178,118783,21941,118115,22902,115963,23517,112973,23906,110039,24462,110534,25205,108229,26069,107689,27015
