기간	지역	전체인구	전체인구	전체인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구	65세이상 인구
기간	지역	전체인구	전체인구	전체인구	합계	합계	합계	내국인	내국인	내국인	등록외국인	등록외국인	등록외국인
기간	지역	계	남자	여자	계	남자	여자	계	남자	여자	계	남자	여자
2011.1/4	합계	10,581,728	5,238,674	5,343,054	1,018,534	440,762	577,772	1,013,180	438,147	575,033	5,354	2,615	2,739
2011.1/4	종로구	179,068	89,119	89,949	22,595	9,846	12,749	22,434	9,767	12,667	161	79	82
2011.1/4	중구	141,401	71,005	70,396	17,707	7,502	10,205	17,510	7,412	10,098	197	90	107
2011.1/4	용산구	257,881	126,036	131,845	31,231	13,109	18,122	30,985	12,976	18,009	246	133	113
2011.1/4	성동구	314,993	157,705	157,288	32,327	13,830	18,497	32,207	13,778	18,429	120	52	68
2011.1/4	광진구	388,811	192,008	196,803	32,580	14,355	18,225	32,350	14,234	18,116	230	121	109
2011.1/4	동대문구	380,320	190,779	189,541	43,106	19,038	24,068	42,956	18,965	23,991	150	73	77
2011.1/4	중랑구	431,787	215,949	215,838	42,282	18,387	23,895	42,190	18,354	23,836	92	33	59
2011.1/4	성북구	498,616	245,935	252,681	53,839	23,204	30,635	53,692	23,138	30,554	147	66	81
2011.1/4	강북구	349,943	173,250	176,693	42,156	18,597	23,559	42,089	18,564	23,525	67	33	34
2011.1/4	도봉구	370,209	182,989	187,220	38,518	16,768	21,750	38,490	16,755	21,735	28	13	15
2011.1/4	노원구	612,587	299,694	312,893	57,325	22,850	34,475	57,252	22,818	34,434	73	32	41
2011.1/4	은평구	496,310	244,017	252,293	54,528	23,752	30,776	54,405	23,694	30,711	123	58	65
2011.1/4	서대문구	331,607	161,609	169,998	39,623	16,805	22,818	39,316	16,659	22,657	307	146	161
2011.1/4	마포구	402,028	195,771	206,257	41,831	17,789	24,042	41,593	17,686	23,907	238	103	135
2011.1/4	양천구	503,867	250,598	253,269	39,472	16,416	23,056	39,358	16,347	23,011	114	69	45
2011.1/4	강서구	579,669	285,926	293,743	50,965	21,287	29,678	50,785	21,190	29,595	180	97	83
2011.1/4	구로구	453,364	229,662	223,702	39,808	17,843	21,965	39,163	17,534	21,629	645	309	336
2011.1/4	금천구	265,159	136,164	128,995	24,272	10,762	13,510	23,904	10,565	13,339	368	197	171
2011.1/4	영등포구	447,738	226,355	221,383	43,358	19,318	24,040	42,568	18,912	23,656	790	406	384
2011.1/4	동작구	414,191	203,778	210,413	42,901	18,876	24,025	42,722	18,792	23,930	179	84	95
2011.1/4	관악구	550,800	278,955	271,845	51,411	23,175	28,236	51,051	22,996	28,055	360	179	181
2011.1/4	서초구	440,188	213,263	226,925	37,596	17,103	20,493	37,473	17,053	20,420	123	50	73
2011.1/4	강남구	576,453	277,561	298,892	44,834	19,655	25,179	44,679	19,588	25,091	155	67	88
2011.1/4	송파구	692,962	339,594	353,368	53,766	23,291	30,475	53,599	23,212	30,387	167	79	88
2011.1/4	강동구	501,776	250,952	250,824	40,503	17,204	23,299	40,409	17,158	23,251	94	46	48
2011.2/4	합계	10,570,064	5,231,751	5,338,313	1,025,615	443,955	581,660	1,020,473	441,424	579,049	5,142	2,531	2,611
2011.2/4	종로구	178,779	88,814	89,965	22,708	9,868	12,840	22,554	9,790	12,764	154	78	76
2011.2/4	중구	141,083	70,990	70,093	17,748	7,515	10,233	17,559	7,423	10,136	189	92	97
2011.2/4	용산구	259,659	126,848	132,811	31,414	13,159	18,255	31,173	13,026	18,147	241	133	108
2011.2/4	성동구	313,333	156,923	156,410	32,279	13,825	18,454	32,162	13,774	18,388	117	51	66
2011.2/4	광진구	388,347	191,801	196,546	32,822	14,476	18,346	32,603	14,358	18,245	219	118	101
2011.2/4	동대문구	379,964	190,508	189,456	43,409	19,149	24,260	43,258	19,076	24,182	151	73	78
2011.2/4	중랑구	431,029	215,447	215,582	42,586	18,513	24,073	42,499	18,480	24,019	87	33	54
2011.2/4	성북구	497,395	245,187	252,208	54,084	23,269	30,815	53,941	23,207	30,734	143	62	81
2011.2/4	강북구	349,354	172,773	176,581	42,501	18,710	23,791	42,438	18,677	23,761	63	33	30
2011.2/4	도봉구	369,816	182,851	186,965	38,887	16,954	21,933	38,854	16,939	21,915	33	15	18
2011.2/4	노원구	610,527	298,513	312,014	57,618	22,962	34,656	57,553	22,936	34,617	65	26	39
2011.2/4	은평구	496,792	244,134	252,658	55,133	24,005	31,128	55,016	23,950	31,066	117	55	62
2011.2/4	서대문구	328,640	160,176	168,464	39,531	16,753	22,778	39,236	16,612	22,624	295	141	154
2011.2/4	마포구	401,879	195,524	206,355	42,120	17,891	24,229	41,884	17,789	24,095	236	102	134
2011.2/4	양천구	502,946	250,098	252,848	39,813	16,657	23,156	39,702	16,591	23,111	111	66	45
2011.2/4	강서구	579,288	285,672	293,616	51,287	21,455	29,832	51,118	21,361	29,757	169	94	75
2011.2/4	구로구	453,911	229,847	224,064	40,064	17,984	22,080	39,465	17,703	21,762	599	281	318
2011.2/4	금천구	264,880	135,961	128,919	24,396	10,807	13,589	24,044	10,610	13,434	352	197	155
2011.2/4	영등포구	447,488	226,131	221,357	43,561	19,397	24,164	42,788	19,007	23,781	773	390	383
2011.2/4	동작구	414,855	204,192	210,663	43,347	19,052	24,295	43,172	18,973	24,199	175	79	96
2011.2/4	관악구	549,803	278,478	271,325	51,720	23,288	28,432	51,393	23,121	28,272	327	167	160
2011.2/4	서초구	438,473	212,471	226,002	37,888	17,244	20,644	37,776	17,197	20,579	112	47	65
2011.2/4	강남구	577,205	278,063	299,142	45,652	20,049	25,603	45,494	19,980	25,514	158	69	89
2011.2/4	송파구	692,676	339,470	353,206	54,131	23,496	30,635	53,973	23,416	30,557	158	80	78
2011.2/4	강동구	501,942	250,879	251,063	40,916	17,477	23,439	40,818	17,428	23,390	98	49	49
2011.3/4	합계	10,557,498	5,224,009	5,333,489	1,038,150	449,930	588,220	1,033,344	447,577	585,767	4,806	2,353	2,453
2011.3/4	종로구	178,539	88,676	89,863	22,857	9,936	12,921	22,717	9,863	12,854	140	73	67
2011.3/4	중구	140,682	70,766	69,916	17,865	7,551	10,314	17,692	7,469	10,223	173	82	91
2011.3/4	용산구	259,810	126,912	132,898	31,623	13,245	18,378	31,406	13,123	18,283	217	122	95
2011.3/4	성동구	311,504	155,961	155,543	32,525	13,926	18,599	32,415	13,875	18,540	110	51	59
2011.3/4	광진구	387,864	191,439	196,425	33,183	14,680	18,503	32,976	14,568	18,408	207	112	95
2011.3/4	동대문구	380,353	190,589	189,764	43,966	19,383	24,583	43,829	19,315	24,514	137	68	69
2011.3/4	중랑구	430,004	214,943	215,061	43,230	18,820	24,410	43,154	18,788	24,366	76	32	44
2011.3/4	성북구	496,556	244,605	251,951	54,690	23,552	31,138	54,555	23,490	31,065	135	62	73
2011.3/4	강북구	348,710	172,347	176,363	42,990	18,911	24,079	42,935	18,883	24,052	55	28	27
2011.3/4	도봉구	368,674	182,202	186,472	39,383	17,159	22,224	39,353	17,147	22,206	30	12	18
2011.3/4	노원구	609,725	298,085	311,640	58,148	23,163	34,985	58,090	23,141	34,949	58	22	36
2011.3/4	은평구	497,433	244,359	253,074	55,896	24,351	31,545	55,789	24,299	31,490	107	52	55
2011.3/4	서대문구	327,231	159,404	167,827	39,835	16,878	22,957	39,540	16,741	22,799	295	137	158
2011.3/4	마포구	400,919	194,915	206,004	42,395	18,002	24,393	42,166	17,901	24,265	229	101	128
2011.3/4	양천구	506,126	251,609	254,517	40,611	17,014	23,597	40,503	16,953	23,550	108	61	47
2011.3/4	강서구	577,142	284,483	292,659	51,853	21,800	30,053	51,691	21,713	29,978	162	87	75
2011.3/4	구로구	456,552	231,035	225,517	41,006	18,447	22,559	40,446	18,183	22,263	560	264	296
2011.3/4	금천구	264,183	135,567	128,616	24,674	10,961	13,713	24,337	10,779	13,558	337	182	155
2011.3/4	영등포구	443,820	224,221	219,599	43,741	19,511	24,230	43,042	19,171	23,871	699	340	359
2011.3/4	동작구	414,304	203,874	210,430	43,881	19,261	24,620	43,716	19,186	24,530	165	75	90
2011.3/4	관악구	548,820	278,036	270,784	52,406	23,612	28,794	52,098	23,461	28,637	308	151	157
2011.3/4	서초구	438,626	212,505	226,121	38,416	17,490	20,926	38,308	17,441	20,867	108	49	59
2011.3/4	강남구	576,409	277,684	298,725	46,612	20,551	26,061	46,461	20,479	25,982	151	72	79
2011.3/4	송파구	691,842	338,996	352,846	54,788	23,863	30,925	54,643	23,790	30,853	145	73	72
2011.3/4	강동구	501,670	250,796	250,874	41,576	17,863	23,713	41,482	17,818	23,664	94	45	49
2011.4/4	합계	10,528,774	5,208,492	5,320,282	1,049,425	455,302	594,123	1,044,750	453,055	591,695	4,675	2,247	2,428
2011.4/4	종로구	177,419	88,107	89,312	22,939	9,999	12,940	22,800	9,925	12,875	139	74	65
2011.4/4	중구	141,567	71,137	70,430	18,099	7,621	10,478	17,928	7,541	10,387	171	80	91
2011.4/4	용산구	259,288	126,735	132,553	31,837	13,333	18,504	31,623	13,211	18,412	214	122	92
2011.4/4	성동구	308,767	154,511	154,256	32,767	14,032	18,735	32,659	13,984	18,675	108	48	60
2011.4/4	광진구	386,673	190,867	195,806	33,613	14,878	18,735	33,418	14,777	18,641	195	101	94
2011.4/4	동대문구	378,534	189,538	188,996	44,368	19,559	24,809	44,229	19,493	24,736	139	66	73
2011.4/4	중랑구	428,672	214,258	214,414	43,745	19,079	24,666	43,676	19,050	24,626	69	29	40
2011.4/4	성북구	494,422	243,639	250,783	55,213	23,805	31,408	55,083	23,747	31,336	130	58	72
2011.4/4	강북구	348,740	172,309	176,431	43,507	19,136	24,371	43,453	19,109	24,344	54	27	27
2011.4/4	도봉구	367,949	181,911	186,038	39,810	17,324	22,486	39,781	17,313	22,468	29	11	18
2011.4/4	노원구	608,062	297,308	310,754	58,642	23,425	35,217	58,584	23,402	35,182	58	23	35
2011.4/4	은평구	498,350	244,730	253,620	56,595	24,669	31,926	56,485	24,620	31,865	110	49	61
2011.4/4	서대문구	324,529	158,160	166,369	40,041	16,968	23,073	39,740	16,828	22,912	301	140	161
2011.4/4	마포구	398,627	193,539	205,088	42,610	18,076	24,534	42,396	17,983	24,413	214	93	121
2011.4/4	양천구	505,605	251,346	254,259	41,110	17,284	23,826	41,004	17,226	23,778	106	58	48
2011.4/4	강서구	575,846	283,662	292,184	52,314	22,089	30,225	52,152	22,000	30,152	162	89	73
2011.4/4	구로구	458,908	232,056	226,852	41,992	18,912	23,080	41,450	18,662	22,788	542	250	292
2011.4/4	금천구	264,256	135,604	128,652	25,089	11,183	13,906	24,761	11,010	13,751	328	173	155
2011.4/4	영등포구	439,555	221,913	217,642	43,891	19,587	24,304	43,215	19,260	23,955	676	327	349
2011.4/4	동작구	413,658	203,341	210,317	44,287	19,468	24,819	44,132	19,403	24,729	155	65	90
2011.4/4	관악구	546,350	276,675	269,675	53,022	23,895	29,127	52,725	23,754	28,971	297	141	156
2011.4/4	서초구	439,012	212,636	226,376	39,035	17,751	21,284	38,933	17,705	21,228	102	46	56
2011.4/4	강남구	573,003	275,906	297,097	47,187	20,801	26,386	47,041	20,731	26,310	146	70	76
2011.4/4	송파구	690,466	338,344	352,122	55,456	24,234	31,222	55,316	24,168	31,148	140	66	74
2011.4/4	강동구	500,516	250,260	250,256	42,256	18,194	24,062	42,166	18,153	24,013	90	41	49
2012.1/4	합계	10,519,780	5,202,479	5,317,301	1,071,161	465,738	605,423	1,065,727	463,117	602,610	5,434	2,621	2,813
2012.1/4	종로구	176,766	87,774	88,992	23,300	10,159	13,141	23,153	10,078	13,075	147	81	66
2012.1/4	중구	143,727	72,210	71,517	18,546	7,837	10,709	18,353	7,745	10,608	193	92	101
2012.1/4	용산구	258,374	126,239	132,135	32,230	13,516	18,714	31,974	13,369	18,605	256	147	109
2012.1/4	성동구	308,020	154,187	153,833	33,341	14,304	19,037	33,216	14,247	18,969	125	57	68
2012.1/4	광진구	386,283	190,593	195,690	34,340	15,207	19,133	34,109	15,084	19,025	231	123	108
2012.1/4	동대문구	378,791	189,689	189,102	45,141	19,908	25,233	44,975	19,834	25,141	166	74	92
2012.1/4	중랑구	427,522	213,697	213,825	44,801	19,548	25,253	44,723	19,513	25,210	78	35	43
2012.1/4	성북구	493,973	243,328	250,645	56,146	24,282	31,864	55,989	24,207	31,782	157	75	82
2012.1/4	강북구	349,569	172,594	176,975	44,480	19,565	24,915	44,411	19,530	24,881	69	35	34
2012.1/4	도봉구	366,821	181,248	185,573	40,587	17,692	22,895	40,551	17,676	22,875	36	16	20
2012.1/4	노원구	606,399	296,563	309,836	59,520	23,823	35,697	59,450	23,792	35,658	70	31	39
2012.1/4	은평구	503,115	246,967	256,148	58,110	25,360	32,750	57,977	25,298	32,679	133	62	71
2012.1/4	서대문구	322,617	157,119	165,498	40,580	17,174	23,406	40,239	17,021	23,218	341	153	188
2012.1/4	마포구	397,736	192,897	204,839	43,322	18,411	24,911	43,068	18,297	24,771	254	114	140
2012.1/4	양천구	504,339	250,749	253,590	41,896	17,689	24,207	41,781	17,629	24,152	115	60	55
2012.1/4	강서구	575,205	283,166	292,039	53,474	22,676	30,798	53,295	22,579	30,716	179	97	82
2012.1/4	구로구	458,935	231,933	227,002	43,154	19,501	23,653	42,525	19,207	23,318	629	294	335
2012.1/4	금천구	264,299	135,715	128,584	25,793	11,527	14,266	25,388	11,322	14,066	405	205	200
2012.1/4	영등포구	437,116	220,435	216,681	44,854	20,074	24,780	44,078	19,698	24,380	776	376	400
2012.1/4	동작구	413,994	203,456	210,538	45,250	19,941	25,309	45,068	19,862	25,206	182	79	103
2012.1/4	관악구	545,971	276,435	269,536	54,194	24,442	29,752	53,843	24,286	29,557	351	156	195
2012.1/4	서초구	441,160	213,738	227,422	40,040	18,215	21,825	39,915	18,156	21,759	125	59	66
2012.1/4	강남구	570,824	274,780	296,044	48,153	21,301	26,852	47,994	21,221	26,773	159	80	79
2012.1/4	송파구	690,312	338,071	352,241	56,796	24,889	31,907	56,639	24,814	31,825	157	75	82
2012.1/4	강동구	497,912	248,896	249,016	43,113	18,697	24,416	43,013	18,652	24,361	100	45	55
2012.2/4	합계	10,498,693	5,190,917	5,307,776	1,083,464	471,413	612,051	1,078,098	468,930	609,168	5,366	2,483	2,883
2012.2/4	종로구	175,430	87,074	88,356	23,472	10,235	13,237	23,329	10,159	13,170	143	76	67
2012.2/4	중구	143,957	72,358	71,599	18,777	7,947	10,830	18,584	7,852	10,732	193	95	98
2012.2/4	용산구	257,194	125,640	131,554	32,427	13,589	18,838	32,172	13,444	18,728	255	145	110
2012.2/4	성동구	307,436	153,851	153,585	33,616	14,481	19,135	33,483	14,423	19,060	133	58	75
2012.2/4	광진구	385,970	190,410	195,560	34,806	15,425	19,381	34,586	15,312	19,274	220	113	107
2012.2/4	동대문구	378,064	189,272	188,792	45,752	20,159	25,593	45,582	20,088	25,494	170	71	99
2012.2/4	중랑구	426,246	212,951	213,295	45,269	19,738	25,531	45,195	19,710	25,485	74	28	46
2012.2/4	성북구	492,771	242,533	250,238	56,763	24,512	32,251	56,619	24,446	32,173	144	66	78
2012.2/4	강북구	348,912	172,267	176,645	45,022	19,747	25,275	44,953	19,712	25,241	69	35	34
2012.2/4	도봉구	365,875	180,749	185,126	41,086	17,931	23,155	41,052	17,917	23,135	34	14	20
2012.2/4	노원구	605,162	296,008	309,154	60,072	24,119	35,953	60,002	24,089	35,913	70	30	40
2012.2/4	은평구	506,167	248,357	257,810	59,020	25,791	33,229	58,886	25,727	33,159	134	64	70
2012.2/4	서대문구	321,481	156,485	164,996	40,933	17,332	23,601	40,591	17,182	23,409	342	150	192
2012.2/4	마포구	396,218	192,060	204,158	43,532	18,480	25,052	43,276	18,369	24,907	256	111	145
2012.2/4	양천구	503,121	250,138	252,983	42,410	17,943	24,467	42,291	17,884	24,407	119	59	60
