기간	행정구역별	구분	계	0~4세	5~9세	10~14세	15~19세	20~24세	25~29세	30~34세	35~39세	40~44세	45~49세	50~54세	55~59세	60~64세	65~69세	70~74세	75~79세	80~84세	85~89세	90~94세	95~99세	100세 이상
2020.1/4	합계	계	10,013,781	300,471	368,576	374,560	445,921	686,152	851,977	756,317	799,598	746,962	852,317	804,946	790,811	716,934	510,721	395,601	297,806	182,742	83,999	31,882	9,043	6,445
2020.1/4	합계	한국인	9,733,655	293,552	361,582	370,250	440,099	643,205	818,007	726,296	775,366	727,436	830,692	778,235	758,879	699,596	506,103	393,898	297,130	182,314	83,783	31,797	9,012	6,423
2020.1/4	합계	등록외국인	280,126	6,919	6,994	4,310	5,822	42,947	33,970	30,021	24,232	19,526	21,625	26,711	31,932	17,338	4,618	1,703	676	428	216	85	31	22
2020.1/4	종로구	계	161,984	3,563	4,784	5,234	6,929	14,640	14,241	11,025	10,882	10,515	13,526	13,372	13,509	11,691	8,299	6,783	5,883	3,907	1,905	755	280	261
2020.1/4	종로구	한국인	151,217	3,441	4,618	5,124	6,446	10,887	12,585	10,090	10,200	9,908	13,027	12,835	12,901	11,300	8,189	6,720	5,860	3,894	1,898	753	280	261
2020.1/4	종로구	등록외국인	10,767	122	166	110	483	3,753	1,656	935	682	607	499	537	608	391	110	63	23	13	7	2	-	-
2020.1/4	중구	계	136,469	3,829	3,911	3,294	4,455	9,784	12,268	11,229	11,104	9,430	10,477	10,993	11,590	10,311	7,456	5,807	4,793	3,137	1,548	656	201	196
2020.1/4	중구	한국인	126,175	3,561	3,632	3,096	4,165	7,733	10,802	10,192	10,226	8,732	9,775	10,274	10,708	9,831	7,283	5,729	4,742	3,115	1,533	652	199	195
2020.1/4	중구	등록외국인	10,294	268	279	198	290	2,051	1,466	1,037	878	698	702	719	882	480	173	78	51	22	15	4	2	1
2020.1/4	용산구	계	246,165	7,290	8,141	7,861	9,443	15,219	21,192	20,900	21,550	18,474	20,946	19,832	18,994	16,884	11,771	9,436	7,944	5,600	2,744	1,155	424	365
2020.1/4	용산구	한국인	229,579	6,729	7,325	7,238	8,981	13,806	19,322	18,756	19,390	16,667	19,459	18,652	18,007	16,300	11,508	9,306	7,890	5,573	2,736	1,151	420	363
2020.1/4	용산구	등록외국인	16,586	561	816	623	462	1,413	1,870	2,144	2,160	1,807	1,487	1,180	987	584	263	130	54	27	8	4	4	2
2020.1/4	성동구	계	307,193	10,912	10,742	9,501	12,015	22,295	26,804	24,953	26,684	22,612	24,971	24,827	24,687	21,462	14,589	11,369	9,178	5,695	2,518	896	242	241
2020.1/4	성동구	한국인	299,042	10,762	10,602	9,430	11,712	20,223	25,501	24,164	26,079	22,153	24,494	24,238	24,034	21,103	14,482	11,328	9,165	5,687	2,512	895	240	238
2020.1/4	성동구	등록외국인	8,151	150	140	71	303	2,072	1,303	789	605	459	477	589	653	359	107	41	13	8	6	1	2	3
2020.1/4	광진구	계	365,990	9,816	11,973	12,391	15,371	30,051	37,992	31,060	29,048	25,971	29,841	29,394	28,850	25,243	16,811	12,661	9,571	5,907	2,596	955	282	206
