기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	인구밀도	인구밀도	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	인구밀도(명/㎢)	면적(㎢)	세대당인구	65세이상고령자
2014.2/4	합계	4,189,495	10,383,651	5,120,271	5,263,380	10,129,223	4,996,391	5,132,832	254,428	123,880	130,548	17,157	605.2	2.42	1,193,827
2014.2/4	종로구	73,629	166,665	82,355	84,310	158,821	78,678	80,143	7,844	3,677	4,167	6,971	23.91	2.16	24,265
2014.2/4	중구	60,267	137,122	68,506	68,616	129,430	64,745	64,685	7,692	3,761	3,931	13,767	9.96	2.15	19,640
2014.2/4	용산구	109,019	250,922	122,560	128,362	238,523	115,857	122,666	12,399	6,703	5,696	11,474	21.87	2.19	34,366
2014.2/4	성동구	126,698	306,692	152,647	154,045	299,328	149,082	150,246	7,364	3,565	3,799	18,197	16.85	2.36	36,085
2014.2/4	광진구	159,338	380,146	186,671	193,475	366,939	180,666	186,273	13,207	6,005	7,202	22,280	17.06	2.3	38,464
2014.2/4	동대문구	159,186	374,664	187,094	187,570	362,413	181,956	180,457	12,251	5,138	7,113	26,365	14.21	2.28	49,817
2014.2/4	중랑구	175,862	422,741	211,013	211,728	418,158	209,176	208,982	4,583	1,837	2,746	22,854	18.5	2.38	50,495
2014.2/4	성북구	195,568	482,095	236,367	245,728	473,359	232,703	240,656	8,736	3,664	5,072	19,615	24.58	2.42	61,316
2014.2/4	강북구	141,124	340,167	167,521	172,646	336,889	166,282	170,607	3,278	1,239	2,039	14,416	23.6	2.39	49,744
2014.2/4	도봉구	137,509	358,590	176,778	181,812	356,599	176,032	180,567	1,991	746	1,245	17,321	20.7	2.59	45,432
2014.2/4	노원구	221,685	589,878	287,745	302,133	586,431	286,259	300,172	3,447	1,486	1,961	16,646	35.44	2.65	65,087
2014.2/4	은평구	202,337	505,935	247,475	258,460	501,371	245,528	255,843	4,564	1,947	2,617	17,034	29.7	2.48	65,579
2014.2/4	서대문구	135,496	323,449	156,987	166,462	313,538	153,016	160,522	9,911	3,971	5,940	18,370	17.61	2.31	44,650
2014.2/4	마포구	167,132	390,712	188,447	202,265	381,231	184,228	197,003	9,481	4,219	5,262	16,391	23.84	2.28	46,424
2014.2/4	양천구	179,831	494,583	245,382	249,201	490,066	243,311	246,755	4,517	2,071	2,446	28,419	17.4	2.73	47,122
2014.2/4	강서구	228,197	577,254	283,100	294,154	570,924	279,927	290,997	6,330	3,173	3,157	13,934	41.43	2.5	61,476
2014.2/4	구로구	172,758	457,516	230,347	227,169	427,854	214,471	213,383	29,662	15,876	13,786	22,741	20.12	2.48	49,799
2014.2/4	금천구	103,957	258,532	132,764	125,768	239,823	122,662	117,161	18,709	10,102	8,607	19,862	13.02	2.31	28,934
2014.2/4	영등포구	168,379	423,518	213,328	210,190	385,654	193,218	192,436	37,864	20,110	17,754	17,266	24.53	2.29	49,126
2014.2/4	동작구	173,284	422,234	207,616	214,618	410,969	202,200	208,769	11,265	5,416	5,849	25,819	16.35	2.37	51,181
2014.2/4	관악구	249,004	534,617	270,231	264,386	516,748	261,623	255,125	17,869	8,608	9,261	18,080	29.57	2.08	61,198
2014.2/4	서초구	171,297	448,511	216,433	232,078	443,940	214,062	229,878	4,571	2,371	2,200	9,542	47	2.59	45,884
2014.2/4	강남구	232,943	574,226	275,835	298,391	568,867	272,991	295,876	5,359	2,844	2,515	14,537	39.5	2.44	55,362
2014.2/4	송파구	258,634	677,460	331,031	346,429	670,543	327,710	342,833	6,917	3,321	3,596	19,999	33.87	2.59	63,470
2014.2/4	강동구	186,361	485,422	242,038	243,384	480,805	240,008	240,797	4,617	2,030	2,587	19,743	24.59	2.58	48,911
