기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2020.2/4	합계	4,384,076	9,985,652	4,859,501	5,126,151	9,720,846	4,732,275	4,988,571	264,806	127,226	137,580	2.22	1,534,957
2020.2/4	종로구	74,497	160,520	77,745	82,775	150,383	73,288	77,095	10,137	4,457	5,680	2.02	28,203
2020.2/4	중구	63,354	136,030	66,545	69,485	126,092	61,697	64,395	9,938	4,848	5,090	1.99	24,035
2020.2/4	용산구	111,586	245,362	119,494	125,868	229,431	110,527	118,904	15,931	8,967	6,964	2.06	39,650
2020.2/4	성동구	135,937	304,851	148,554	156,297	297,397	145,258	152,139	7,454	3,296	4,158	2.19	45,005
2020.2/4	광진구	166,307	363,925	175,083	188,842	349,574	168,879	180,695	14,351	6,204	8,147	2.1	49,457
2020.2/4	동대문구	166,451	360,380	177,237	183,143	345,593	171,392	174,201	14,787	5,845	8,942	2.08	60,817
2020.2/4	중랑구	183,310	399,415	197,384	202,031	394,414	195,349	199,065	5,001	2,035	2,966	2.15	67,637
2020.2/4	성북구	195,064	452,290	217,551	234,739	441,812	213,431	228,381	10,478	4,120	6,358	2.26	72,822
2020.2/4	강북구	145,559	315,395	153,389	162,006	311,773	152,028	159,745	3,622	1,361	2,261	2.14	62,338
2020.2/4	도봉구	138,966	331,744	161,724	170,020	329,560	160,855	168,705	2,184	869	1,315	2.37	60,784
2020.2/4	노원구	217,897	533,041	257,473	275,568	528,887	255,624	273,263	4,154	1,849	2,305	2.43	83,636
2020.2/4	은평구	210,664	483,938	232,423	251,515	479,524	230,640	248,884	4,414	1,783	2,631	2.28	83,272
2020.2/4	서대문구	143,323	324,224	153,921	170,303	312,720	149,920	162,800	11,504	4,001	7,503	2.18	53,468
2020.2/4	마포구	177,544	384,957	180,659	204,298	374,390	176,664	197,726	10,567	3,995	6,572	2.11	53,694
2020.2/4	양천구	179,677	462,034	226,748	235,286	457,953	224,908	233,045	4,081	1,840	2,241	2.55	63,824
2020.2/4	강서구	265,252	593,203	286,668	306,535	586,936	283,697	303,239	6,267	2,971	3,296	2.21	87,032
2020.2/4	구로구	178,367	436,707	218,051	218,656	405,075	200,098	204,977	31,632	17,953	13,679	2.27	68,280
2020.2/4	금천구	112,570	250,554	128,078	122,476	232,250	117,762	114,488	18,304	10,316	7,988	2.06	38,950
2020.2/4	영등포구	179,787	405,154	202,648	202,506	373,349	184,905	188,444	31,805	17,743	14,062	2.08	60,071
2020.2/4	동작구	183,537	406,776	196,479	210,297	395,165	191,211	203,954	11,611	5,268	6,343	2.15	64,039
2020.2/4	관악구	273,715	516,318	258,740	257,578	499,740	250,829	248,911	16,578	7,911	8,667	1.83	77,341
2020.2/4	서초구	173,998	433,062	207,095	225,967	428,919	205,037	223,882	4,143	2,058	2,085	2.47	59,063
2020.2/4	강남구	233,484	546,158	261,187	284,971	541,233	258,753	282,480	4,925	2,434	2,491	2.32	73,097
2020.2/4	송파구	280,135	678,067	327,383	350,684	671,512	324,317	347,195	6,555	3,066	3,489	2.4	90,700
2020.2/4	강동구	193,095	461,547	227,242	234,305	457,164	225,206	231,958	4,383	2,036	2,347	2.37	67,742
