,행정구역,2011년 65세이상 인구 비율,2012년 65세이상 인구 비율,2013년 65세이상 인구 비율,2014년 65세이상 인구 비율,2015년 65세이상 인구 비율,2016년 65세이상 인구 비율,2017년 65세이상 인구 비율,2018년 65세이상 인구 비율,2019년 65세이상 인구 비율,2020년 65세이상 인구 비율
1,서울특별시 종로구,13.54064,14.3638,14.90161,15.52681,15.97047,16.33527,16.8185,17.35995,18.05671,18.80135
2,서울특별시 중구,13.46017,14.0147,14.6798,15.41405,15.97115,16.27797,16.82298,17.29966,18.20862,19.02782
3,서울특별시 용산구,12.82875,13.47931,14.08818,14.65177,15.15029,15.43904,15.92243,16.24985,16.76914,17.20035
4,서울특별시 성동구,10.86059,11.367,11.79139,12.34911,12.8029,13.07897,13.50096,13.83066,14.55553,15.29106
5,서울특별시 광진구,8.98488,9.57117,10.14103,10.68049,11.15662,11.55942,12.242,12.77763,13.5708,14.3057
6,서울특별시 동대문구,12.10142,12.83523,13.42702,13.95596,14.53021,15.01145,15.84129,16.37428,17.09157,17.77356
7,서울특별시 중랑구,10.30809,11.06667,11.74118,12.39602,13.05142,13.5867,14.49908,15.31414,16.38855,17.30998
8,서울특별시 성북구,11.35332,12.03677,12.66353,13.26938,13.74601,14.18392,14.89027,15.51984,15.97176,16.64745
9,서울특별시 강북구,12.5931,13.44778,14.30883,15.14962,15.86802,16.49292,17.39311,18.20475,19.26206,20.27091
10,서울특별시 도봉구,10.88182,11.65705,12.39159,13.12887,13.82323,14.49256,15.52884,16.47727,17.59769,18.74419
11,서울특별시 노원구,9.70046,10.23964,10.7931,11.40001,11.98138,12.47734,13.3798,14.16675,15.17231,16.08815
12,서울특별시 은평구,11.44269,12.094,12.74431,13.40917,13.98016,14.50813,15.28367,15.98996,16.78367,17.47953
13,서울특별시 서대문구,12.6218,13.25112,13.85788,14.49274,14.87052,15.05535,15.63235,16.12727,16.69215,17.05426
14,서울특별시 마포구,10.88492,11.44617,11.91758,12.21879,12.4723,12.65096,13.16458,13.47563,13.93025,14.37961
15,서울특별시 양천구,8.19736,8.74996,9.31845,9.88604,10.37744,10.8756,11.70233,12.48231,13.34607,14.17521
16,서울특별시 강서구,9.16439,9.80577,10.42578,10.95717,11.50823,11.90441,12.60531,13.30851,14.16688,15.04428
17,서울특별시 구로구,9.69663,10.42735,11.14612,11.88617,12.59109,13.21012,14.17264,15.10642,15.96699,16.83741
18,서울특별시 금천구,10.17138,10.88258,11.59572,12.26312,13.01188,13.5845,14.39142,15.11391,15.97698,16.72187
19,서울특별시 영등포구,10.87326,11.60349,12.22808,12.86354,13.43156,13.81117,14.46181,14.92911,15.491,15.91034
20,서울특별시 동작구,10.9943,11.59261,12.13758,12.79775,13.33488,13.72878,14.40398,14.95824,15.65651,16.36548
21,서울특별시 관악구,10.0162,10.75237,11.45363,12.1303,12.69015,13.1516,13.85444,14.32155,14.95459,15.59127
22,서울특별시 서초구,8.97976,9.57351,10.0855,10.52887,11.00603,11.38348,12.04234,12.59658,13.23876,13.94196
23,서울특별시 강남구,8.31539,8.89866,9.45708,9.90998,10.44085,10.90114,11.67749,12.3454,13.00441,13.68661
24,서울특별시 송파구,8.10837,8.66732,9.21463,9.76189,10.32058,10.78058,11.50376,12.18223,12.89749,13.71964
25,서울특별시 강동구,8.51601,9.19236,9.87258,10.52608,11.30428,11.95966,12.85581,13.7214,14.52552,14.99264
26,인천광역시 중구,12.3508,12.94096,12.98365,13.29235,13.45934,13.65478,14.10436,14.27114,14.11625,14.52702
27,인천광역시 동구,13.68881,14.66371,15.5354,16.36703,17.17628,17.7979,18.95031,20.01117,21.34354,22.67897
28,인천광역시 미추홀구,10.99221,11.70639,12.36282,13.03707,13.63669,13.77046,14.49148,15.08443,16.05481,16.9487
29,인천광역시 연수구,7.13261,7.39604,7.65688,7.83932,8.02158,8.18344,8.62977,9.01579,9.37007,9.76954
30,인천광역시 남동구,7.98536,8.41347,8.85407,9.30816,9.74191,10.16249,10.88919,11.58833,12.46903,13.35033
31,인천광역시 부평구,8.67318,9.1944,9.67746,10.16191,10.67818,11.08572,11.84555,12.66087,13.59502,14.56773
32,인천광역시 계양구,6.77725,7.21328,7.6261,8.0963,8.55766,9.01103,9.79943,10.59198,11.5474,12.53142
33,인천광역시 서구,6.8323,7.03552,7.31213,7.68881,8.06788,8.36425,8.93943,9.27875,9.85959,10.51503
34,인천광역시 강화군,24.82667,26.01121,26.97535,27.91502,28.53385,28.81929,29.74518,30.69554,31.66035,32.774
35,인천광역시 옹진군,19.44573,19.97605,19.90047,20.7796,21.32907,21.3901,22.41691,23.6024,24.91977,26.52632
36,경기도 수원시,7.21982,7.51711,7.77132,8.04546,8.42039,8.70925,9.28525,9.76185,10.35166,10.95358
37,경기도 수원시 장안구,8.2447,8.65858,8.89607,9.23883,9.73727,10.15789,10.89787,11.58281,12.42164,13.16462
38,경기도 수원시 권선구,7.05345,7.35616,7.74144,8.00153,8.34518,8.62852,9.21776,9.68365,10.42867,11.04299
39,경기도 수원시 팔달구,9.30248,9.94081,10.46166,11.06699,11.65529,11.99406,12.89114,13.58814,14.41666,15.19451
40,경기도 수원시 영통구,4.6623,4.81641,4.94027,5.1359,5.4038,5.61919,6.00882,6.43562,6.76992,7.21071
41,경기도 성남시,8.9376,9.46889,9.96474,10.4599,10.95155,11.26065,11.94055,12.58452,13.34505,13.99133
